club_name,urls
"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/
"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/
Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/
,
Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/
Des Moines Lapidary Society,http://dmlapidary.org/
Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/
Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/
River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html
The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html
,
Olathe Gem and Mineral Society,http://olathegemclub.com/
Topeka Gem & Mineral Society,http://www.topekagms.org/
Wichita Gem and Mineral Society,http://www.wgmsks.org/
Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
,
Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/
KYANA Geological Society,http://www.kyanageo.org/
Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/
,
Ark-La-Tex Gem & Mineral Society,http://larockclub.com/
Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/
DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
,
Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/
Maine Mineralogical & Geological Society,http://mainemineralclub.org/
Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/
Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html
,
American Fossil Federation,http://americanfossilfederation.org/Home.html
Baltimore Mineral Society,http://www.baltimoremineralsociety.org/
Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club
Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/
Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/
"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/
"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/
Maryland Geological Society,http://www.ecphora.net/mgs/
Micromineralogists of the National Capital Area,http://dcmicrominerals.org/
Patuxent Lapidary Guild,http://www.patuxentlapidary.org/
Southern Maryland Rock and Mineral Club,http://www.smrmc.org/
The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/
,
"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/
Connecticut Valley Mineral Club,http://www.cvmineralclub.org/
Micromounters of New England,http://micromountersofnewengland.org/
